f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
Navajo Stirling,Ion Cutelaba,2026-06-20,1,10.159999999999997,7.6200000000000045,-3.898699520876111,2.1100000000000003,0.11000000000000004,-0.7999999999999998,0.11999999999999994,-3.1599999999999997,-0.25,-0.050000000000000044,-0.3
Christian Rodriguez,Hyder Amil,2026-06-20,1,2.539999999999992,-5.079999999999984,-7.556468172484596,-1.9300000000000002,-0.020000000000000018,-1.1,0.06000000000000005,1.29,0.24000000000000002,0.020000000000000018,0.30000000000000004
Murtazali Magomedov,Melsik Baghdasaryan,2026-06-20,1,0.0,0.0,-7.5756331279945215,-0.15000000000000036,-0.09999999999999998,-1.08,0.25,5.17,0.5,-0.7,5.2
Andre Fili,Vinicius Oliveira,2026-06-20,0,10.159999999999997,5.0800000000000125,5.43189596167009,-1.5500000000000003,-0.09999999999999998,1.69,-0.08999999999999997,0.9700000000000002,0.030000000000000027,0.0,0.0
Kevin Borjas,Andre Lima,2026-06-20,1,2.539999999999992,-5.0800000000000125,1.1635865845311422,-0.06999999999999984,-0.14000000000000007,2.6099999999999994,-0.07999999999999996,-1.11,-0.6,-0.030000000000000027,-0.9
Melissa Mullins,Bia Mesquita,2026-06-20,0,2.539999999999992,7.6200000000000045,-0.29295003422313926,-0.8499999999999996,-0.07999999999999996,2.8800000000000003,-0.17999999999999994,-1.3699999999999997,-0.29,0.85,-3.6
Mitch Raposo,Allan Nascimento,2026-06-20,1,-12.699999999999989,-7.6200000000000045,-7.096509240246409,-1.2900000000000003,-0.13,0.3900000000000001,0.06999999999999995,0.94,0.15999999999999998,0.2700000000000001,-0.9
Michael Aswell Jr.,Gaston Bolanos,2026-06-20,0,0.0,2.539999999999992,-8.03559206023272,3.6899999999999995,-0.04999999999999999,3.49,-0.020000000000000018,-0.51,-0.5,0.050000000000000044,0.0
Leon Shahbazyan,Levan Chokheli,2026-06-20,0,5.0800000000000125,12.699999999999989,0.8733744010951412,-9.55,-0.020000000000000018,8.45,-0.6699999999999999,1.41,0.5,0.0,0.0
Luana Santos,Karol Rosa,2026-06-20,1,0.0,2.539999999999992,-5.295003422313485,-2.94,-0.020000000000000018,-1.83,0.15000000000000002,1.06,-0.10999999999999999,0.13,0.9
Otari Tanzilovi,Shane Collins,2026-06-20,0,-2.539999999999992,0.0,1.9137577002053412,-0.8700000000000001,0.13,0.33000000000000007,0.14999999999999997,4.5,0.36,0.41,-3.0
Ilia Topuria,Justin Gaethje,2026-06-14,0,-2.5400000000000205,-10.159999999999997,-8.18617385352498,-1.4699999999999998,-0.06999999999999995,-2.86,0.12,1.43,0.30999999999999994,0.21999999999999997,0.9
Alex Pereira,Ciryl Gane,2026-06-14,0,-5.0800000000000125,0.0,2.7652292950034223,-0.39000000000000057,0.0,1.4100000000000001,-0.07999999999999996,-0.55,0.27,0.33000000000000007,-0.39999999999999997
