f_1_name,f_2_name,f_1_odds,f_2_odds,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg,delta_elo,delta_win_streak,delta_loss_streak,delta_win_rate_last_5,delta_ufc_win_rate,delta_ufc_fights,delta_rank,is_ranked_f1,is_ranked_f2,delta_win_rate_3y,delta_SlpM_3y,delta_SApM_3y,delta_TD_Def_3y
Justin Buchholz,Mac Danzig,1.94,1.87,2010-02-06,0,7.619999999999976,10.159999999999997,-3.6358658453114323,-1.04,-0.21999999999999997,0.6999999999999997,-0.05999999999999994,-1.2,-0.37,-0.13,0.20000000000000007,-11.023449300856782,0,-1,-0.15000000000000002,-0.15000000000000002,-1,-0.0,0.0,0.0,-0.0,-1.0399999999999996,0.6999999999999997,-0.13000000000000006
Joe Stevenson,George Sotiropoulos,1.92,1.89,2010-02-20,0,-2.539999999999992,-7.6200000000000045,-4.933607118412045,-0.56,0.16999999999999998,-0.08000000000000007,-0.07000000000000006,0.43000000000000016,0.13,-0.14,0.6000000000000001,7.135104842974442,-2,0,-0.4,-0.33333333333333337,8,-0.0,0.0,0.0,-0.0,-0.56,-0.08000000000000007,-0.14
Antonio Rodrigo Nogueira,Cain Velasquez,2.15,1.71,2010-02-20,0,-0.0,5.0800000000000125,6.151950718685828,-4.42,-0.14999999999999997,0.06999999999999984,-0.019999999999999907,-3.83,-0.16000000000000003,-0.49,2.0,-36.29112871995835,-4,0,-0.25,-0.25,-1,-0.0,0.0,0.0,-0.0,-4.42,0.06999999999999984,-0.49
Wanderlei Silva,Michael Bisping,2.66,1.48,2010-02-20,1,-2.539999999999992,-5.079999999999984,2.6557152635181396,-1.54,0.020000000000000018,-0.52,-0.050000000000000044,-0.08000000000000007,0.10000000000000003,-0.010000000000000009,0.3,-110.44651796664311,-1,2,-0.6000000000000001,-0.5142857142857143,-3,0.0,0.0,0.0,0.0,-1.54,-0.52,-0.010000000000000009
Ryan Bader,Keith Jardine,1.78,2.04,2010-02-20,1,-5.079999999999984,0.0,-7.600273785078713,-0.43000000000000016,0.07,-1.59,0.12,2.1900000000000004,-0.010000000000000009,0.18000000000000005,-0.29999999999999993,29.62565383163178,3,-2,0.6,0.4545454545454546,-8,0.0,0.0,0.0,0.0,-0.43000000000000016,-1.59,0.18000000000000016
Igor Pokrajac,James Te Huna,1.74,2.1,2010-02-20,0,-2.539999999999992,-5.0800000000000125,2.7405886379192346,-1.79,-0.06,1.2699999999999996,-0.21999999999999997,-1.88,-0.08000000000000002,-0.06999999999999995,-0.0,-15.147709834940997,0,1,-0.5,-0.5,1,-0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
Krzysztof Soszynski,Stephan Bonnar,1.66,2.23,2010-02-20,1,-5.079999999999984,-7.6200000000000045,-0.32854209445585525,0.6100000000000003,0.010000000000000009,0.1200000000000001,0.05999999999999994,-0.8,-0.15000000000000002,0.10999999999999999,0.0,27.426972365303527,0,-1,0.35,0.25,-6,0.0,0.0,0.0,0.0,0.6100000000000003,0.1200000000000001,0.10999999999999999
Chris Lytle,Brian Foster,1.95,1.86,2010-02-20,1,-7.6200000000000045,5.0800000000000125,9.626283367556468,0.45999999999999996,0.06,1.4,-0.07000000000000006,-2.9699999999999998,-0.04999999999999993,0.18000000000000005,0.5999999999999999,-15.3678849241237,0,0,0.09999999999999998,-0.09999999999999998,13,0.0,0.0,0.0,0.0,0.45999999999999996,1.4,0.18000000000000005
CB Dollaway,Goran Reljic,2.01,1.81,2010-02-20,1,-12.700000000000017,-2.539999999999992,0.6105407255304591,0.96,0.09999999999999998,-0.10999999999999988,-0.04999999999999993,1.8599999999999999,0.040000000000000036,0.29,0.09999999999999987,-0.8574237881289264,0,0,-0.4,-0.4,4,0.0,0.0,0.0,0.0,0.96,-0.10999999999999988,0.29
Mirko Filipovic,Anthony Perosh,1.71,2.14,2010-02-20,1,-5.0800000000000125,-2.539999999999992,-1.9301848049281318,-0.16000000000000014,0.07,-1.8800000000000001,0.09999999999999998,-1.8399999999999999,0.18000000000000002,0.45,-0.8,19.584224076336568,0,-1,0.4,0.4,3,0.0,0.0,0.0,-0.5,0.029999999999999583,0.0,0.0
